col,var,stfid,fipsstco,tract,group,ct_bg_id,area_sqft,area_sqmi,area_acres,int_densit,rfa,mix_fl_3,nrd_06_upd,wlk_ind_06,walk_index,num_hous_h,tot_pop,urban_bg,fast_fd_ct,grocery_ct,fast_f_den,ff_dens_ac,ff_den_100,grocer_den,library_p,child_care,chld_cr_ct,park_count,elem_sch_p,bus_stop_p,lrt_cr_stp,bus_stp_ct,bus_sp_den,park_prese,park_inter,p_acreage,pk_acr_den,pk_den1000,hospital_p,du_tot2010,du_res_day,du_res_lib,du_res_par,du_res_gro,du_res_fas,du_res_ele,du_health,du_heafood,du_hou_tsa,du_pollu,du_hou_bik,per_du_day,per_du_lib,per_du_par,per_du_gro,per_du_ff,per_du_ele,per_du_hea,per_duhfoo,per_du_tsa,per_du_pol,per_dubik2,ct_minori,ct_low_inc,ct_low_mob,ct_low_com,ct_concern,ct_ma_misc,ct_mali_yr,crim_mapop,ct_violnt5,ct_vio_yr2,crm_rt_vio,ped_inv_ct,ped_dayyr2,ped_c_rate,cyc_inv_ct,cyc_dayyr2,cyc_c_rate,daypoparea,daypop_per,day_pop_bg,daypop_1x3,totpop1000,res_pop_10,pop_den_10,pop_den_mi,pop_den_ac,arter_den,traf_volum,tot_par_ct,lot_sur_ct,lot_str_ct,pk_lot_ct,vacnt_ct,per_vacant,per_lot_su,per_lot_st,per_pk_lot,road_allft,rd_walk_ft,rd_walk_10,sidewk_ft2,sidewk_rdn,side_c_per,side_none,side_parti,side_atlas,cn_transit,cn_parks,cn_he_food,cn_trails,cn_daycare,cn_health,cn_library,cn_elem_sc,cs_tis,cs_ypas,cs_pai,cs_ped_saf,cs_cyc_saf,cs_tsfy,nu_cn_indi
B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,stfid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,fipsstco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,tract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,ct_bg_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,area_sqft,,,,,,1,1,1,-0.181202864,-0.093370946,-0.051170932,-0.076106,-0.133093409,-0.14060525,0.146140379,0.259833318,-0.38959505,0.004578037,0.071241304,-0.04474071,-0.044740982,-0.04474071,-0.049769697,0.10067101,0.073290999,0.050219831,0.191059313,0.083909108,-0.080085628,-0.011550773,0.165692279,-0.080589926,0.111242087,0.115180869,0.533916635,0.481672251,0.481672251,-0.008485331,0.176235998,-0.038570466,-0.036178804,0.044310184,-0.037632741,-0.038864523,-0.075527485,-0.04511675,-0.038421636,-0.073739647,0.098920039,0.00991289,-0.16401904,-0.053493117,-0.125911626,-0.153376,-0.188033291,-0.129280505,-0.056057659,-0.156314829,-0.114089786,-0.028869359,-0.097808235,-0.023530209,-0.045540763,0.085996327,0.010817605,0.002839472,-0.043355157,-0.043355157,-0.039727914,-0.017612749,-0.017612749,-0.02396539,-0.012647333,-0.012647333,-0.066784506,-0.000729821,-0.000729821,-0.054766709,0.99992394,0.100142987,0.246717597,0.246717596,0.259833318,0.247659417,-0.149300758,-0.141662298,-0.141662298,-0.113747999,-0.149951324,0.310581983,-0.012110919,-0.007242742,-0.012282592,0.641047203,0.512319264,-0.021540472,-0.009248434,-0.021042124,0.811212287,0.820217286,0.770486232,-0.033840564,-0.225450223,-0.225450234,0.531065226,0.121164977,-0.369609009,-0.108230217,-0.111727605,-0.147844479,-0.052561118,-0.15375132,-0.049446011,-0.048033291,-0.112641312,-0.195148061,-0.208884633,-0.047317446,0.047487869,0.097995797,0.005907548,-0.177180469
I,area_sqmi,,,,,,1,1,1,-0.181202864,-0.093370947,-0.051170932,-0.076106,-0.133093409,-0.14060525,0.14614038,0.259833319,-0.389595049,0.004578037,0.071241304,-0.04474071,-0.044740982,-0.044740709,-0.049769698,0.10067101,0.073290999,0.050219831,0.191059313,0.083909108,-0.080085628,-0.011550772,0.165692279,-0.080589926,0.111242087,0.115180869,0.533916634,0.48167225,0.48167225,-0.00848533,0.176235998,-0.038570465,-0.036178804,0.044310184,-0.03763274,-0.038864522,-0.075527484,-0.045116749,-0.038421635,-0.073739647,0.098920039,0.00991289,-0.164019039,-0.053493117,-0.125911625,-0.153375999,-0.18803329,-0.129280504,-0.056057658,-0.156314829,-0.114089786,-0.02886936,-0.097808235,-0.023530209,-0.045540763,0.085996327,0.010817604,0.002839472,-0.043355157,-0.043355157,-0.039727914,-0.017612748,-0.017612748,-0.02396539,-0.012647333,-0.012647333,-0.066784506,-0.00072982,-0.00072982,-0.054766709,0.99992394,0.100142987,0.246717597,0.246717597,0.259833319,0.247659417,-0.149300758,-0.141662298,-0.141662298,-0.113747998,-0.149951323,0.310581983,-0.012110918,-0.007242742,-0.012282592,0.641047202,0.512319263,-0.021540472,-0.009248434,-0.021042124,0.811212287,0.820217286,0.770486232,-0.033840564,-0.225450222,-0.225450233,0.531065225,0.121164977,-0.369609009,-0.108230217,-0.111727605,-0.147844479,-0.052561117,-0.15375132,-0.04944601,-0.048033291,-0.112641312,-0.19514806,-0.208884632,-0.047317446,0.047487869,0.097995796,0.005907547,-0.177180468
J,area_acres,,,,,,1,1,1,-0.181202864,-0.093370946,-0.051170932,-0.076106,-0.133093409,-0.14060525,0.146140379,0.259833317,-0.38959505,0.004578037,0.071241304,-0.04474071,-0.044740982,-0.04474071,-0.049769697,0.10067101,0.073290999,0.050219831,0.191059313,0.083909108,-0.080085628,-0.011550773,0.165692279,-0.080589926,0.111242087,0.115180869,0.533916635,0.481672251,0.481672251,-0.008485331,0.176235998,-0.038570466,-0.036178804,0.044310184,-0.037632741,-0.038864523,-0.075527485,-0.04511675,-0.038421636,-0.073739647,0.098920039,0.00991289,-0.16401904,-0.053493117,-0.125911626,-0.153376,-0.188033291,-0.129280505,-0.056057659,-0.156314829,-0.114089786,-0.028869359,-0.097808235,-0.023530209,-0.045540763,0.085996327,0.010817605,0.002839472,-0.043355157,-0.043355157,-0.039727914,-0.017612749,-0.017612749,-0.02396539,-0.012647333,-0.012647333,-0.066784506,-0.000729821,-0.000729821,-0.054766709,0.99992394,0.100142987,0.246717597,0.246717596,0.259833317,0.247659417,-0.149300758,-0.141662298,-0.141662298,-0.113747999,-0.149951324,0.310581983,-0.012110919,-0.007242742,-0.012282592,0.641047203,0.512319263,-0.021540472,-0.009248434,-0.021042124,0.811212287,0.820217286,0.770486232,-0.033840564,-0.225450223,-0.225450234,0.531065226,0.121164977,-0.369609009,-0.108230217,-0.111727605,-0.147844479,-0.052561118,-0.15375132,-0.049446011,-0.048033291,-0.112641312,-0.195148061,-0.208884633,-0.047317446,0.047487869,0.097995797,0.005907548,-0.177180469
K,int_densit,,,,,,-0.181202864,-0.181202864,-0.181202864,1,0.534659872,0.192457467,0.36953196,0.71460511,0.793346073,-0.140853635,-0.170296097,0.334544703,-0.043222326,0.064518104,0.267430719,0.267430752,0.267430719,0.366369523,0.021443364,-0.022929797,-0.025074068,-0.247158707,-0.096553334,0.155718042,-0.033885081,-0.055257003,0.435208849,-0.213292619,-0.239871999,-0.190689841,-0.166212845,-0.166212845,-0.01605869,-0.188752792,0.200446398,0.21658877,0.049523475,0.20956778,0.135546833,0.220633825,0.278597942,0.2066849,0.30482189,-0.082816708,0.119651562,0.528110347,0.327778799,0.368422463,0.555062716,0.530372095,0.459418406,0.395491186,0.554676954,0.548053832,-0.010460152,0.343982866,0.326557426,0.355610121,0.105400628,0.310592073,0.26298506,0.096606536,0.096606536,0.144661244,0.130815584,0.130815584,0.15641521,0.199557409,0.199557409,0.322016306,0.094548475,0.094548475,0.252783102,-0.181530051,-0.269019838,-0.182487578,-0.182487579,-0.170296097,-0.252120124,0.653911769,0.619658837,0.619658837,0.099531308,0.179962742,-0.361994383,0.130583725,0.073081924,0.131740649,-0.247205107,-0.297014873,0.133009468,0.075030795,0.132044904,-0.283111235,-0.278609636,-0.346356943,-0.187112992,0.425686237,0.425686204,-0.208820292,-0.315321919,0.361516667,0.511528067,0.298143319,0.465488333,0.149802944,0.443592691,0.353674606,0.281203742,0.419597173,0.588612982,0.577234942,-0.102794654,-0.079828549,-0.083700987,-0.067796427,0.647388158
