region,sub-region,income,housing price,rent,crash rate,population
East Region,Alpine,91041,521000,1150,38.5,15226
North Inland Region,Anza-Borrego Springs,49948,191900,793,57,4952
North Coastal Region,Carlsbad,89108,555095,1689,47,117427
South Region,Chula Vista,47821,243208,1209,44.5,116603
North Central Region,Coastal,85455,707060,1604,32.4,75893
South Region,Coronado,99889,0,1793,48,23187
North Central Region,Del Mar-Mira Mesa,115528,517404,1750,35.9,160089
East Region,El Cajon,55429,321265,1215,41.7,126047
North Central Region,Elliott-Navajo,83438,484647,1642,54.2,90258
North Inland Region,Escondido,61751,344584,1311,74,165438
North Inland Region,Fallbrook,72011,444133,1225,31.9,48167
East Region,Harbison Crest/El Cajon,83290,367716,1228,79.1,14869
East Region,Jamul,121168,527267,1433,32.2,18079
North Central Region,Kearny Mesa,68676,416181,1506,0,152441
East Region,La Mesa,60838,387862,1216,94.7,60320
East Region,Laguna-Pine  Valley,69316,333300,1012,41.1,5655
East Region,Lakeside,71155,336920,1343,70.4,56951
East Region,Lemon Grove,60434,287857,1240,105.4,30110
North Central Region,Miramar,45498,0,0,65.1,5072
East Region,Mountain Empire,59014,227400,790,33.2,8563
South Region,National City,41936,266377,1026,25.2,58752
North Coastal Region,Oceanside,70503,372314,1420,0,161223
North Inland Region,Palomar-Julian,57946,290650,837,174.3,6529
North Inland Region,Pauma,83094,352400,953,15.1,7798
North Coastal Region,Pendleton,52692,318300,1851,48.1,38172
North Central Region,Peninsula,71475,620923,1470,33.5,63252
North Inland Region,Poway,117506,583384,1739,63.1,87385
North Inland Region,Ramona,88991,398471,1578,41.1,35635
North Coastal Region,San Dieguito,103305,722400,1749,38.8,95500
North Inland Region,San Marcos,65489,317087,1404,111.4,91465
East Region,Santee,78300,322492,1406,30.9,51950
South Region,South Bay,54417,277828,1159,22.2,135592
East Region,Spring Valley,74965,350322,1356,49.5,82215
South Region,Sweetwater,94927,405111,1835,0,139210
North Central Region,University,73746,475854,1658,43.7,68088
North Inland Region,Valley Center,85004,438400,1226,34.2,23553
North Coastal Region,Vista,61044,355820,1235,51.3,102080
