id,group,du_health,du_heafood,du_hou_tsa,du_pollu,du_hou_bik
ID 1,Group 1,0,128,25,10,102
ID 2,Group 2,0,110,18,0,69
ID 3,Group 3,0,429,286,17,560
ID 4,Group 1,173,724,676,0,442
ID 25,Group 2,52,328,328,0,328
ID 5,Group 2,106,1159,1129,0,1157
ID 6,Group 3,0,740,738,158,723
ID 7,Group 4,0,766,771,3,425
ID 8,Group 1,314,384,384,0,384
ID 9,Group 2,400,400,400,0,400
ID 10,Group 3,783,903,903,365,903
ID 11,Group 4,368,586,586,0,586
ID 12,Group 5,312,629,629,0,629
ID 13,Group 1,1684,1684,1684,363,1684
ID 14,Group 2,547,547,547,290,547
ID 15,Group 1,0,617,456,176,665
ID 16,Group 2,0,633,657,1,682
ID 17,Group 3,0,504,504,0,504
ID 18,Group 1,0,518,518,0,518
ID 19,Group 2,28,541,557,138,557
ID 20,Group 3,224,875,875,222,875
ID 21,Group 1,0,934,934,0,934
ID 22,Group 2,0,448,659,0,659
ID 23,Group 3,396,820,830,315,830
ID 24,Group 1,0,299,299,0,299
ID 469,Group 5,0,299,299,0,227
ID 26,Group 3,32,2014,2014,0,2014
ID 27,Group 1,0,602,602,0,602
ID 28,Group 2,0,497,497,0,497
ID 29,Group 3,0,519,519,0,519
ID 30,Group 4,0,649,649,0,649
ID 31,Group 5,0,320,320,0,320
ID 32,Group 6,0,426,426,0,426
ID 33,Group 1,0,683,683,0,683
ID 34,Group 2,0,630,630,0,630
ID 35,Group 3,0,632,632,0,632
ID 36,Group 4,0,551,551,0,551
ID 42,Group 3,0,686,686,0,106
ID 37,Group 1,0,611,611,258,258
ID 38,Group 2,0,679,679,181,449
ID 39,Group 3,0,476,476,0,476
ID 40,Group 1,0,696,696,544,304
ID 41,Group 2,0,716,716,0,0
ID 1483,Group 1,0,38,0,0,0
ID 43,Group 4,0,1048,1048,0,855
ID 44,Group 1,0,485,485,26,39
ID 45,Group 2,491,902,902,0,481
ID 46,Group 3,111,1301,1301,0,837
ID 47,Group 4,0,687,687,0,372
ID 48,Group 1,318,318,318,0,36
ID 49,Group 2,355,355,355,0,112
ID 50,Group 3,714,965,965,0,403
ID 51,Group 1,255,532,532,283,532
ID 52,Group 2,143,451,371,117,419
ID 53,Group 3,425,430,430,0,175
ID 1484,Group 2,0,132,0,0,0
ID 54,Group 4,542,542,542,0,500
ID 55,Group 1,0,726,726,0,726
ID 56,Group 2,0,612,612,25,612
ID 57,Group 3,0,441,441,441,441
ID 58,Group 4,0,649,649,503,590
ID 59,Group 1,0,699,699,0,699
ID 60,Group 2,0,638,638,0,638
ID 61,Group 3,0,627,627,94,627
ID 62,Group 4,0,311,311,290,311
ID 63,Group 1,0,390,390,97,390
ID 64,Group 2,0,616,616,0,616
ID 65,Group 3,0,348,348,0,348
ID 66,Group 4,0,471,471,162,394
ID 67,Group 5,0,435,435,0,435
ID 68,Group 6,0,396,396,103,287
ID 69,Group 1,0,142,165,19,164
ID 70,Group 2,0,349,358,84,362
